PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,FamilySize,Title
1,0,3,male,22.0,1,0,7.25,Unknown,S,2,Mr
2,1,1,female,38.0,1,0,71.2833,C85,C,2,Mrs
3,1,3,female,26.0,0,0,7.925,Unknown,S,1,Miss
4,1,1,female,35.0,1,0,53.1,C123,S,2,Mrs
5,0,3,male,35.0,0,0,8.05,Unknown,S,1,Mr
6,0,3,male,28.0,0,0,8.4583,Unknown,Q,1,Mr
7,0,1,male,54.0,0,0,51.8625,E46,S,1,Mr
8,0,3,male,2.0,3,1,21.075,Unknown,S,5,Master
9,1,3,female,27.0,0,2,11.1333,Unknown,S,3,Mrs
10,1,2,female,14.0,1,0,30.0708,Unknown,C,2,Mrs
11,1,3,female,4.0,1,1,16.7,G6,S,3,Miss
12,1,1,female,58.0,0,0,26.55,C103,S,1,Miss
13,0,3,male,20.0,0,0,8.05,Unknown,S,1,Mr
14,0,3,male,39.0,1,5,31.275,Unknown,S,7,Mr
15,0,3,female,14.0,0,0,7.8542,Unknown,S,1,Miss
16,1,2,female,55.0,0,0,16.0,Unknown,S,1,Mrs
17,0,3,male,2.0,4,1,29.125,Unknown,Q,6,Master
18,1,2,male,28.0,0,0,13.0,Unknown,S,1,Mr
19,0,3,female,31.0,1,0,18.0,Unknown,S,2,Mrs
20,1,3,female,28.0,0,0,7.225,Unknown,C,1,Mrs
21,0,2,male,35.0,0,0,26.0,Unknown,S,1,Mr
22,1,2,male,34.0,0,0,13.0,D56,S,1,Mr
23,1,3,female,15.0,0,0,8.0292,Unknown,Q,1,Miss
24,1,1,male,28.0,0,0,35.5,A6,S,1,Mr
25,0,3,female,8.0,3,1,21.075,Unknown,S,5,Miss
26,1,3,female,38.0,1,5,31.3875,Unknown,S,7,Mrs
27,0,3,male,28.0,0,0,7.225,Unknown,C,1,Mr
28,0,1,male,19.0,3,2,263.0,C23 C25 C27,S,6,Mr
29,1,3,female,28.0,0,0,7.8792,Unknown,Q,1,Miss
30,0,3,male,28.0,0,0,7.8958,Unknown,S,1,Mr
31,0,1,male,40.0,0,0,27.7208,Unknown,C,1,Royalty
32,1,1,female,28.0,1,0,146.5208,B78,C,2,Mrs
33,1,3,female,28.0,0,0,7.75,Unknown,Q,1,Miss
34,0,2,male,66.0,0,0,10.5,Unknown,S,1,Mr
35,0,1,male,28.0,1,0,82.1708,Unknown,C,2,Mr
36,0,1,male,42.0,1,0,52.0,Unknown,S,2,Mr
37,1,3,male,28.0,0,0,7.2292,Unknown,C,1,Mr
38,0,3,male,21.0,0,0,8.05,Unknown,S,1,Mr
39,0,3,female,18.0,2,0,18.0,Unknown,S,3,Miss
40,1,3,female,14.0,1,0,11.2417,Unknown,C,2,Miss
41,0,3,female,40.0,1,0,9.475,Unknown,S,2,Mrs
42,0,2,female,27.0,1,0,21.0,Unknown,S,2,Mrs
43,0,3,male,28.0,0,0,7.8958,Unknown,C,1,Mr
44,1,2,female,3.0,1,2,41.5792,Unknown,C,4,Miss
45,1,3,female,19.0,0,0,7.8792,Unknown,Q,1,Miss
46,0,3,male,28.0,0,0,8.05,Unknown,S,1,Mr
47,0,3,male,28.0,1,0,15.5,Unknown,Q,2,Mr
48,1,3,female,28.0,0,0,7.75,Unknown,Q,1,Miss
49,0,3,male,28.0,2,0,21.6792,Unknown,C,3,Mr
50,0,3,female,18.0,1,0,17.8,Unknown,S,2,Mrs
51,0,3,male,7.0,4,1,39.6875,Unknown,S,6,Master
52,0,3,male,21.0,0,0,7.8,Unknown,S,1,Mr
53,1,1,female,49.0,1,0,76.7292,D33,C,2,Mrs
54,1,2,female,29.0,1,0,26.0,Unknown,S,2,Mrs
55,0,1,male,65.0,0,1,61.9792,B30,C,2,Mr
56,1,1,male,28.0,0,0,35.5,C52,S,1,Mr
57,1,2,female,21.0,0,0,10.5,Unknown,S,1,Miss
58,0,3,male,28.5,0,0,7.2292,Unknown,C,1,Mr
59,1,2,female,5.0,1,2,27.75,Unknown,S,4,Miss
60,0,3,male,11.0,5,2,46.9,Unknown,S,8,Master
61,0,3,male,22.0,0,0,7.2292,Unknown,C,1,Mr
62,1,1,female,38.0,0,0,80.0,B28,S,1,Miss
63,0,1,male,45.0,1,0,83.475,C83,S,2,Mr
64,0,3,male,4.0,3,2,27.9,Unknown,S,6,Master
65,0,1,male,28.0,0,0,27.7208,Unknown,C,1,Mr
66,1,3,male,28.0,1,1,15.2458,Unknown,C,3,Master
67,1,2,female,29.0,0,0,10.5,F33,S,1,Mrs
68,0,3,male,19.0,0,0,8.1583,Unknown,S,1,Mr
69,1,3,female,17.0,4,2,7.925,Unknown,S,7,Miss
70,0,3,male,26.0,2,0,8.6625,Unknown,S,3,Mr
71,0,2,male,32.0,0,0,10.5,Unknown,S,1,Mr
72,0,3,female,16.0,5,2,46.9,Unknown,S,8,Miss
73,0,2,male,21.0,0,0,73.5,Unknown,S,1,Mr
74,0,3,male,26.0,1,0,14.4542,Unknown,C,2,Mr
75,1,3,male,32.0,0,0,56.4958,Unknown,S,1,Mr
76,0,3,male,25.0,0,0,7.65,F G73,S,1,Mr
77,0,3,male,28.0,0,0,7.8958,Unknown,S,1,Mr
78,0,3,male,28.0,0,0,8.05,Unknown,S,1,Mr
79,1,2,male,0.83,0,2,29.0,Unknown,S,3,Master
80,1,3,female,30.0,0,0,12.475,Unknown,S,1,Miss
81,0,3,male,22.0,0,0,9.0,Unknown,S,1,Mr
82,1,3,male,29.0,0,0,9.5,Unknown,S,1,Mr
83,1,3,female,28.0,0,0,7.7875,Unknown,Q,1,Miss
84,0,1,male,28.0,0,0,47.1,Unknown,S,1,Mr
85,1,2,female,17.0,0,0,10.5,Unknown,S,1,Miss
86,1,3,female,33.0,3,0,15.85,Unknown,S,4,Mrs
87,0,3,male,16.0,1,3,34.375,Unknown,S,5,Mr
88,0,3,male,28.0,0,0,8.05,Unknown,S,1,Mr
89,1,1,female,23.0,3,2,263.0,C23 C25 C27,S,6,Miss
90,0,3,male,24.0,0,0,8.05,Unknown,S,1,Mr
91,0,3,male,29.0,0,0,8.05,Unknown,S,1,Mr
92,0,3,male,20.0,0,0,7.8542,Unknown,S,1,Mr
93,0,1,male,46.0,1,0,61.175,E31,S,2,Mr
94,0,3,male,26.0,1,2,20.575,Unknown,S,4,Mr
95,0,3,male,59.0,0,0,7.25,Unknown,S,1,Mr
96,0,3,male,28.0,0,0,8.05,Unknown,S,1,Mr
97,0,1,male,71.0,0,0,34.6542,A5,C,1,Mr
98,1,1,male,23.0,0,1,63.3583,D10 D12,C,2,Mr
99,1,2,female,34.0,0,1,23.0,Unknown,S,2,Mrs
100,0,2,male,34.0,1,0,26.0,Unknown,S,2,Mr
101,0,3,female,28.0,0,0,7.8958,Unknown,S,1,Miss
102,0,3,male,28.0,0,0,7.8958,Unknown,S,1,Mr
103,0,1,male,21.0,0,1,77.2875,D26,S,2,Mr
104,0,3,male,33.0,0,0,8.6542,Unknown,S,1,Mr
105,0,3,male,37.0,2,0,7.925,Unknown,S,3,Mr
106,0,3,male,28.0,0,0,7.8958,Unknown,S,1,Mr
107,1,3,female,21.0,0,0,7.65,Unknown,S,1,Miss
108,1,3,male,28.0,0,0,7.775,Unknown,S,1,Mr
109,0,3,male,38.0,0,0,7.8958,Unknown,S,1,Mr
110,1,3,female,28.0,1,0,24.15,Unknown,Q,2,Miss
111,0,1,male,47.0,0,0,52.0,C110,S,1,Mr
112,0,3,female,14.5,1,0,14.4542,Unknown,C,2,Miss
113,0,3,male,22.0,0,0,8.05,Unknown,S,1,Mr
114,0,3,female,20.0,1,0,9.825,Unknown,S,2,Miss
115,0,3,female,17.0,0,0,14.4583,Unknown,C,1,Miss
116,0,3,male,21.0,0,0,7.925,Unknown,S,1,Mr
117,0,3,male,70.5,0,0,7.75,Unknown,Q,1,Mr
118,0,2,male,29.0,1,0,21.0,Unknown,S,2,Mr
119,0,1,male,24.0,0,1,247.5208,B58 B60,C,2,Mr
120,0,3,female,2.0,4,2,31.275,Unknown,S,7,Miss
121,0,2,male,21.0,2,0,73.5,Unknown,S,3,Mr
122,0,3,male,28.0,0,0,8.05,Unknown,S,1,Mr
123,0,2,male,32.5,1,0,30.0708,Unknown,C,2,Mr
124,1,2,female,32.5,0,0,13.0,E101,S,1,Miss
125,0,1,male,54.0,0,1,77.2875,D26,S,2,Mr
126,1,3,male,12.0,1,0,11.2417,Unknown,C,2,Master
127,0,3,male,28.0,0,0,7.75,Unknown,Q,1,Mr
128,1,3,male,24.0,0,0,7.1417,Unknown,S,1,Mr
129,1,3,female,28.0,1,1,22.3583,F E69,C,3,Miss
130,0,3,male,45.0,0,0,6.975,Unknown,S,1,Mr
131,0,3,male,33.0,0,0,7.8958,Unknown,C,1,Mr
132,0,3,male,20.0,0,0,7.05,Unknown,S,1,Mr
133,0,3,female,47.0,1,0,14.5,Unknown,S,2,Mrs
134,1,2,female,29.0,1,0,26.0,Unknown,S,2,Mrs
135,0,2,male,25.0,0,0,13.0,Unknown,S,1,Mr
